voter_id,class_0_probability,class_1_probability,class_2_probability
bd0d4b41502b445d7f95d558493344753a34f86fe016b71cb2f8d2642a692c39,0.020911261,0.9580642,0.021024441
c0a0eb4f174f66dc586749c2da83e63fc718ce6c3519429cc05312013155fdea,0.023934137,0.9521105,0.023955306
c4c2fe8a7c4a7f65519b82ebd7c4e0116ef41c7607ed76a2b14c2958a21e9de6,0.044853292,0.8973482,0.05779852
cac37fccc6f3abb6fc5ad1fa8c813854deaa1a4ae143ed36aba8233fc03bf3cc,0.062023353,0.91782534,0.020151278
cdb293712bd3db50b20514897aaa422513e409374258ef930897ffb314ceec33,0.62881356,0.3483798,0.022806715
d499030b7c8b758e15a7bc7c1cbe1202ba6f25b36a35519d0c3849237a70e6df,0.4172351,0.5546896,0.028075377
d554cba16cdcd239cc2dc29c8e4616a506a6c87ef2a604a7625217ea1d0ce1b3,0.16066796,0.7965107,0.04282132
d619be243ffc5bddbd951b0c4074a3cb2408a9a089141e072bfce14bc6f07a51,0.8321877,0.1253853,0.042426948
d8269d974ff3fd4637e4a835cb4edcecda8860f3bfc967eebda56484b37f2142,0.40109077,0.57115,0.0277592
db205140eb1f5b021152a8b8e7e0ffdbb63d84ac6df4ec666a1206434c9f10d8,0.1240421,0.84917545,0.02678244
e32d8876304b1427084522b37439d98c77edd7b6a4ace11728af858e69d87642,0.77972054,0.20208418,0.01819521
e3d63c49a88410c2cfd6bcd4c76dff908a7a6ba9075dccb07abd1a3bffa1ffcd,0.44856882,0.5156748,0.035756387
e53bc5399b2af7ffabcce8fedbdaf32a3daeca63e1f6458fdcfcf58c244dd411,0.028170466,0.96094435,0.010885251
e5b791f66c7cd866f0fa2fee3f46cfadbc0d17616d57a3d6c02e325b98eb3d53,0.36501572,0.6173952,0.017589042
ea5dbefde629172b878a02a3dd912a047328d9ee730baf05083c67f9a5b0198b,0.26749256,0.71301866,0.019488811
ecf55f3d2a63cc9090d1766029bbff72d4d28978e34ad672059b1bc7708862a8,0.015131066,0.9422235,0.04264546
f5ce8a695c94dae42e5ea70e5b4dfcac6f0e6988397b2421f93993446ef49030,0.9633649,0.028186932,0.008448164
fd546eb0a87e86360c860c006272e9bae68832437750dbca2f910bb41424643b,0.115946606,0.8338016,0.05025176
